name,link
Vadi,https://id.wikipedia.org/wiki/Vadi_Akbar
Victor Hutabarat,https://id.wikipedia.org/wiki/Victor_Hutabarat
Viky Sianipar,https://id.wikipedia.org/wiki/Viky_Sianipar
Vidi Aldiano,https://id.wikipedia.org/wiki/Vidi_Aldiano
Virzha,https://id.wikipedia.org/wiki/Di_Muhammad_Devirzha
Wizzow,https://id.wikipedia.org/wiki/Wizzow
Yana Julio,https://id.wikipedia.org/wiki/Yana_Julio
Acha Septriasa,https://id.wikipedia.org/wiki/Acha_Septriasa
Adinda Shalahita,https://id.wikipedia.org/wiki/Adinda_Shalahita
Agnes Monica,https://id.wikipedia.org/wiki/Agnes_Monica
Aida Mustafa,https://id.wikipedia.org/wiki/Aida_Mustafa
Aimee Saras,https://id.wikipedia.org/wiki/Aimee_Saras
Ajeng,https://id.wikipedia.org/wiki/Ajeng
Alda Risma,https://id.wikipedia.org/wiki/Alda_Risma
Aldyna,https://id.wikipedia.org/wiki/Aldyna
Alena,https://id.wikipedia.org/wiki/Alena
Alika,https://id.wikipedia.org/wiki/Karis_Alika_Islamadina
Amanda,https://id.wikipedia.org/wiki/Rachel_Amanda
Andi Meriem Matalatta,https://id.wikipedia.org/wiki/Andi_Meriem_Matalatta
Andien,https://id.wikipedia.org/wiki/Andien
Andira,https://id.wikipedia.org/wiki/Andira
Andita,https://id.wikipedia.org/wiki/Andita_Minarska
Andity,https://id.wikipedia.org/wiki/Andity
Andrea Miranda,https://id.wikipedia.org/wiki/Andrea_Miranda
Angel Paff,https://id.wikipedia.org/wiki/Angel_Paff
Angel Pieters,https://id.wikipedia.org/wiki/Angel_Pieters
Anggun C. Sasmi,https://id.wikipedia.org/wiki/Anggun_C._Sasmi
Anie Carera,https://id.wikipedia.org/wiki/Anie_Carera
Anita Tourisia,https://id.wikipedia.org/wiki/Anita_Tourisia
Anna Mathovani,https://id.wikipedia.org/wiki/Anna_Mathovani
Anneke Gronloh,https://id.wikipedia.org/wiki/Anneke_Gronloh
Annie Ibon,https://id.wikipedia.org/wiki/Annie_Ibon
Arie Koesmiran,https://id.wikipedia.org/wiki/Arie_Kusmiran
Arin Wolayan,https://id.wikipedia.org/wiki/Arin_Wolayan
Ashanty,https://id.wikipedia.org/wiki/Ashanty
Asteriska,https://id.wikipedia.org/wiki/Cabrini_Asteriska_Widiantini
Asti Asmodiwati,https://id.wikipedia.org/wiki/Asti_Asmodiwati
Astrid,https://id.wikipedia.org/wiki/Astrid_Sartiasari
Atiek CB,https://id.wikipedia.org/wiki/Atiek_CB
Audi Fristya,https://id.wikipedia.org/wiki/Audi_Fristya
Audy,https://id.wikipedia.org/wiki/Audy
Aura Kasih,https://id.wikipedia.org/wiki/Aura_Kasih
Ayu Azhari,https://id.wikipedia.org/wiki/Ayu_Azhari
Ayu Handayani,https://id.wikipedia.org/wiki/Ayu_Handayani
Ayu Laksmi,https://id.wikipedia.org/wiki/Ayu_Laksmi
Ayu Soraya,https://id.wikipedia.org/wiki/Ayu_Soraya
Ayu Ting Ting,https://id.wikipedia.org/wiki/Ayu_Ting_Ting
Ayushita,https://id.wikipedia.org/wiki/Ayushita
Baby Valenta Duarte,https://id.wikipedia.org/wiki/Baby_Valenta_Duarte
Bella Saphira,https://id.wikipedia.org/wiki/Bella_Saphira
Berlian Hutauruk,https://id.wikipedia.org/wiki/Berlian_Hutauruk
Betharia Sonatha,https://id.wikipedia.org/wiki/Betharia_Sonatha
Bilanova,https://id.wikipedia.org/wiki/Putri_Bilanova
Bonita,https://id.wikipedia.org/wiki/Bonita
Bornok Hutauruk,https://id.wikipedia.org/wiki/Bornok_Hutauruk
Brianna Simorangkir,https://id.wikipedia.org/wiki/Brianna_Simorangkir
Bunga Citra Lestari,https://id.wikipedia.org/wiki/Bunga_Citra_Lestari
Calista Amadea,https://id.wikipedia.org/wiki/Calista_Amadea
